model,layer,name,name_id,shape[0],shape[1]
Llama-2-7b-hf,0,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,0,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,0,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,0,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,0,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,0,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,0,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,1,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,1,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,1,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,1,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,1,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,1,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,1,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,2,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,2,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,2,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,2,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,2,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,2,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,2,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,3,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,3,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,3,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,3,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,3,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,3,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,3,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,4,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,4,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,4,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,4,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,4,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,4,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,4,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,5,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,5,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,5,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,5,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,5,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,5,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,5,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,6,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,6,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,6,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,6,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,6,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,6,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,6,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,7,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,7,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,7,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,7,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,7,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,7,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,7,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,8,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,8,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,8,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,8,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,8,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,8,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,8,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,9,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,9,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,9,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,9,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,9,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,9,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,9,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,10,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,10,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,10,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,10,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,10,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,10,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,10,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,11,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,11,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,11,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,11,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,11,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,11,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,11,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,12,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,12,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,12,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,12,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,12,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,12,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,12,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,13,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,13,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,13,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,13,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,13,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,13,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,13,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,14,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,14,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,14,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,14,self_attn.o_proj,4,4096,4096
