model,sparsity,pruning_data,dataset,acc,bleu,ppl,f1,dataset_group,pruning_group,metric,value,percentage,percentage_wrt_task
Llama,0.1,ANLI,C4,,,7.686385631561279,,Language Modeling,NLI,ppl,7.686,0.9706572510011,0.9980966370244899
Llama,0.1,ANLI,OSCAR,,,5.850663185119629,,Language Modeling,NLI,ppl,5.851,0.9526408486576314,0.9980966370244899
Llama,0.1,ANLI,Pile,,,4.399459362030029,,Language Modeling,NLI,ppl,4.399,0.9991069043124925,0.9980966370244899
Llama,0.1,ANLI,RedPajama,,,6.753150939941406,,Language Modeling,NLI,ppl,6.753,0.9947544848381459,0.9980966370244899
Llama,0.1,ANLI,Wikitext,,,5.480284214019775,,Language Modeling,NLI,ppl,5.48,0.9339378990095614,0.9980966370244899
Llama,0.1,BoolQ,C4,,,7.690159797668457,,Language Modeling,Question Answering,ppl,7.69,0.9701808731630834,0.9982978906415413
Llama,0.1,BoolQ,OSCAR,,,5.850220203399658,,Language Modeling,Question Answering,ppl,5.85,0.9527129831187253,0.9982978906415413
Llama,0.1,BoolQ,Pile,,,4.400081634521484,,Language Modeling,Question Answering,ppl,4.4,0.998965607674335,0.9982978906415413
Llama,0.1,BoolQ,RedPajama,,,6.755551815032959,,Language Modeling,Question Answering,ppl,6.756,0.9944009561656926,0.9982978906415413
Llama,0.1,BoolQ,Wikitext,,,5.4794769287109375,,Language Modeling,Question Answering,ppl,5.479,0.9340754950529514,0.9982978906415413
Llama,0.1,C4,C4,,,7.6995439529418945,,Language Modeling,Language Modeling,ppl,7.7,0.9689984228760632,1.0
Llama,0.1,C4,OSCAR,,,5.852029323577881,,Language Modeling,Language Modeling,ppl,5.852,0.9524184575470794,1.0
Llama,0.1,C4,Pile,,,4.405501365661621,,Language Modeling,Language Modeling,ppl,4.406,0.9977366612815275,1.0
Llama,0.1,C4,RedPajama,,,6.765765190124512,,Language Modeling,Language Modeling,ppl,6.766,0.992899841410551,1.0
Llama,0.1,C4,Wikitext,,,5.492574214935303,,Language Modeling,Language Modeling,ppl,5.493,0.931848150708544,1.0
Llama,0.1,CommonsenseQA,C4,,,7.687197685241699,,Language Modeling,Question Answering,ppl,7.687,0.970554713532262,0.9982978906415413
Llama,0.1,CommonsenseQA,OSCAR,,,5.8515543937683105,,Language Modeling,Question Answering,ppl,5.852,0.952495758702676,0.9982978906415413
Llama,0.1,CommonsenseQA,Pile,,,4.398974895477295,,Language Modeling,Question Answering,ppl,4.399,0.9992169376473594,0.9982978906415413
Llama,0.1,CommonsenseQA,RedPajama,,,6.750120639801025,,Language Modeling,Question Answering,ppl,6.75,0.9952010553242014,0.9982978906415413
Llama,0.1,CommonsenseQA,Wikitext,,,5.480998992919922,,Language Modeling,Question Answering,ppl,5.481,0.9338161038577795,0.9982978906415413
Llama,0.1,DS1000,C4,,,7.697014808654785,,Language Modeling,Coding,ppl,7.697,0.9693168238258287,0.9986039064154136
Llama,0.1,DS1000,OSCAR,,,5.849343299865723,,Language Modeling,Coding,ppl,5.849,0.9528558089606864,0.9986039064154136
Llama,0.1,DS1000,Pile,,,4.402578830718994,,Language Modeling,Coding,ppl,4.403,0.9983989822457291,0.9986039064154136
Llama,0.1,DS1000,RedPajama,,,6.761620044708252,,Language Modeling,Coding,ppl,6.762,0.9935085290030532,0.9986039064154136
Llama,0.1,DS1000,Wikitext,,,5.484735488891602,,Language Modeling,Coding,ppl,5.485,0.9331799382455233,0.9986039064154136
Llama,0.1,e-SNLI,C4,,,7.687551498413086,,Language Modeling,NLI,ppl,7.688,0.9705100445578467,0.9980966370244899
