model,sparsity,pruning_data,dataset,acc,bleu,ppl,f1
Qwen/Qwen2.5-7B,0.0,none,anli_r1,0.623,,,
Qwen/Qwen2.5-7B,0.0,none,boolq,0.5724770642201835,,,
Qwen/Qwen2.5-7B,0.0,none,c4,,,12.810582160949709,
Qwen/Qwen2.5-7B,0.0,none,commonsense_qa,0.8484848484848485,,,
Qwen/Qwen2.5-7B,0.0,none,ds1000,,,,0.8261063098907471
Qwen/Qwen2.5-7B,0.0,none,esnli,0.8434446254071661,,,
Qwen/Qwen2.5-7B,0.0,none,gsm8k,0.026535253980288,,,
Qwen/Qwen2.5-7B,0.0,none,iwslt,,0.3688898941809378,,
Qwen/Qwen2.5-7B,0.0,none,mawps,0.6519230769230769,,,
Qwen/Qwen2.5-7B,0.0,none,mbpp,,,,0.711334764957428
Qwen/Qwen2.5-7B,0.0,none,opc,,,,0.7354699373245239
Qwen/Qwen2.5-7B,0.0,none,oscar,,,7.982422351837158,
Qwen/Qwen2.5-7B,0.0,none,pile,,,4.950601577758789,
Qwen/Qwen2.5-7B,0.0,none,race,0.0066882853668423,,,
Qwen/Qwen2.5-7B,0.0,none,redpajama,,,10.330682754516602,
Qwen/Qwen2.5-7B,0.0,none,rte,0.7472924187725631,,,
Qwen/Qwen2.5-7B,0.0,none,svamp,0.67,,,
Qwen/Qwen2.5-7B,0.0,none,wikitext2,,,6.851233005523682,
Qwen/Qwen2.5-7B,0.0,none,winogrande,0.6724546172059984,,,
Qwen/Qwen2.5-7B,0.0,none,wmt14,,0.3489941723523728,,
Qwen/Qwen2.5-7B,0.5,anli_r1,anli_r1,0.479,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,boolq,0.672782874617737,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,c4,,,15.965449333190918,
Qwen/Qwen2.5-7B,0.5,anli_r1,commonsense_qa,0.7919737919737919,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,ds1000,,,,0.8325380086898804
Qwen/Qwen2.5-7B,0.5,anli_r1,esnli,0.8599348534201955,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,gsm8k,0.0295678544351781,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,iwslt,,0.2729026413949923,,
Qwen/Qwen2.5-7B,0.5,anli_r1,mawps,0.625,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,mbpp,,,,0.7682141661643982
Qwen/Qwen2.5-7B,0.5,anli_r1,opc,,,,0.7604817152023315
Qwen/Qwen2.5-7B,0.5,anli_r1,oscar,,,9.953210830688477,
Qwen/Qwen2.5-7B,0.5,anli_r1,pile,,,6.142350673675537,
Qwen/Qwen2.5-7B,0.5,anli_r1,race,0.834414268342116,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,redpajama,,,12.95188331604004,
Qwen/Qwen2.5-7B,0.5,anli_r1,rte,0.8267148014440433,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,svamp,0.5933333333333334,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,wikitext2,,,8.64533519744873,
Qwen/Qwen2.5-7B,0.5,anli_r1,winogrande,0.6132596685082873,,,
Qwen/Qwen2.5-7B,0.5,anli_r1,wmt14,,0.2665239924730939,,
Qwen/Qwen2.5-7B,0.5,boolq,anli_r1,0.408,,,
Qwen/Qwen2.5-7B,0.5,boolq,boolq,0.5666666666666667,,,
Qwen/Qwen2.5-7B,0.5,boolq,c4,,,15.646809577941896,
Qwen/Qwen2.5-7B,0.5,boolq,commonsense_qa,0.7952497952497952,,,
Qwen/Qwen2.5-7B,0.5,boolq,ds1000,,,,0.8357496857643127
Qwen/Qwen2.5-7B,0.5,boolq,esnli,0.8650244299674267,,,
Qwen/Qwen2.5-7B,0.5,boolq,gsm8k,0.0303260045489006,,,
Qwen/Qwen2.5-7B,0.5,boolq,iwslt,,0.2517784259364716,,
Qwen/Qwen2.5-7B,0.5,boolq,mawps,0.6423076923076924,,,
Qwen/Qwen2.5-7B,0.5,boolq,mbpp,,,,0.5142183303833008
Qwen/Qwen2.5-7B,0.5,boolq,opc,,,,0.6744928359985352
Qwen/Qwen2.5-7B,0.5,boolq,oscar,,,9.811285972595217,
Qwen/Qwen2.5-7B,0.5,boolq,pile,,,6.042926788330078,
Qwen/Qwen2.5-7B,0.5,boolq,race,0.856708552898257,,,
Qwen/Qwen2.5-7B,0.5,boolq,redpajama,,,12.860969543457031,
Qwen/Qwen2.5-7B,0.5,boolq,rte,0.855595667870036,,,
Qwen/Qwen2.5-7B,0.5,boolq,svamp,0.5866666666666667,,,
Qwen/Qwen2.5-7B,0.5,boolq,wikitext2,,,8.518519401550293,
Qwen/Qwen2.5-7B,0.5,boolq,winogrande,0.6179952644041041,,,
Qwen/Qwen2.5-7B,0.5,boolq,wmt14,,0.2519881286754542,,
Qwen/Qwen2.5-7B,0.5,c4,anli_r1,0.479,,,
Qwen/Qwen2.5-7B,0.5,c4,boolq,0.8085626911314985,,,
Qwen/Qwen2.5-7B,0.5,c4,c4,,,15.271151542663574,
Qwen/Qwen2.5-7B,0.5,c4,commonsense_qa,0.8034398034398035,,,
Qwen/Qwen2.5-7B,0.5,c4,ds1000,,,,0.828616201877594
Qwen/Qwen2.5-7B,0.5,c4,esnli,0.8724552117263844,,,
Qwen/Qwen2.5-7B,0.5,c4,gsm8k,0.0280515542077331,,,
Qwen/Qwen2.5-7B,0.5,c4,iwslt,,0.3024046248795619,,
Qwen/Qwen2.5-7B,0.5,c4,mawps,0.6326923076923077,,,
Qwen/Qwen2.5-7B,0.5,c4,mbpp,,,,0.5115340948104858
Qwen/Qwen2.5-7B,0.5,c4,opc,,,,0.6094274520874023
Qwen/Qwen2.5-7B,0.5,c4,oscar,,,9.58156967163086,
Qwen/Qwen2.5-7B,0.5,c4,pile,,,5.982234001159668,
Qwen/Qwen2.5-7B,0.5,c4,race,0.8522496959870288,,,
Qwen/Qwen2.5-7B,0.5,c4,redpajama,,,12.44288158416748,
Qwen/Qwen2.5-7B,0.5,c4,rte,0.8303249097472925,,,
Qwen/Qwen2.5-7B,0.5,c4,svamp,0.5966666666666667,,,
Qwen/Qwen2.5-7B,0.5,c4,wikitext2,,,8.65145492553711,
Qwen/Qwen2.5-7B,0.5,c4,winogrande,0.6298342541436464,,,
Qwen/Qwen2.5-7B,0.5,c4,wmt14,,0.2818909706815493,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,anli_r1,0.493,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,boolq,0.336085626911315,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,c4,,,15.985960960388184,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,commonsense_qa,0.800982800982801,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,ds1000,,,,0.8419063687324524
Qwen/Qwen2.5-7B,0.5,commonsense_qa,esnli,0.8335708469055375,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,gsm8k,0.0295678544351781,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,iwslt,,0.2640668616123668,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,mawps,0.575,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,mbpp,,,,0.4111722707748413
Qwen/Qwen2.5-7B,0.5,commonsense_qa,opc,,,,0.4695315062999725
Qwen/Qwen2.5-7B,0.5,commonsense_qa,oscar,,,9.98503589630127,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,pile,,,6.154984474182129,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,race,0.7886096473449534,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,redpajama,,,13.005818367004396,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,rte,0.8267148014440433,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,svamp,0.5566666666666666,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,wikitext2,,,8.99670696258545,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,winogrande,0.6101026045777427,,,
Qwen/Qwen2.5-7B,0.5,commonsense_qa,wmt14,,0.2436038578854361,,
Qwen/Qwen2.5-7B,0.5,ds1000,anli_r1,0.402,,,
Qwen/Qwen2.5-7B,0.5,ds1000,boolq,0.7516819571865443,,,
Qwen/Qwen2.5-7B,0.5,ds1000,c4,,,16.917280197143555,
Qwen/Qwen2.5-7B,0.5,ds1000,commonsense_qa,0.7755937755937756,,,
Qwen/Qwen2.5-7B,0.5,ds1000,ds1000,,,,0.8561126589775085
Qwen/Qwen2.5-7B,0.5,ds1000,esnli,0.7724959283387622,,,
Qwen/Qwen2.5-7B,0.5,ds1000,gsm8k,0.0318423047763457,,,
Qwen/Qwen2.5-7B,0.5,ds1000,iwslt,,0.2842043723557667,,
Qwen/Qwen2.5-7B,0.5,ds1000,mawps,0.6326923076923077,,,
Qwen/Qwen2.5-7B,0.5,ds1000,mbpp,,,,0.6084266901016235
Qwen/Qwen2.5-7B,0.5,ds1000,opc,,,,0.6731709241867065
Qwen/Qwen2.5-7B,0.5,ds1000,oscar,,,10.369680404663086,
Qwen/Qwen2.5-7B,0.5,ds1000,pile,,,6.125265598297119,
Qwen/Qwen2.5-7B,0.5,ds1000,race,0.8064450749898663,,,
Qwen/Qwen2.5-7B,0.5,ds1000,redpajama,,,13.48069667816162,
Qwen/Qwen2.5-7B,0.5,ds1000,rte,0.8772563176895307,,,
Qwen/Qwen2.5-7B,0.5,ds1000,svamp,0.6066666666666667,,,
Qwen/Qwen2.5-7B,0.5,ds1000,wikitext2,,,9.660679817199709,
Qwen/Qwen2.5-7B,0.5,ds1000,winogrande,0.6156274664561957,,,
Qwen/Qwen2.5-7B,0.5,ds1000,wmt14,,0.2564414230635003,,
Qwen/Qwen2.5-7B,0.5,esnli,anli_r1,0.469,,,
Qwen/Qwen2.5-7B,0.5,esnli,boolq,0.4917431192660551,,,
Qwen/Qwen2.5-7B,0.5,esnli,c4,,,16.346729278564453,
Qwen/Qwen2.5-7B,0.5,esnli,commonsense_qa,0.8042588042588042,,,
Qwen/Qwen2.5-7B,0.5,esnli,ds1000,,,,0.8442045450210571
Qwen/Qwen2.5-7B,0.5,esnli,esnli,0.8830415309446255,,,
Qwen/Qwen2.5-7B,0.5,esnli,gsm8k,0.0257771038665655,,,
Qwen/Qwen2.5-7B,0.5,esnli,iwslt,,0.2580092577930158,,
Qwen/Qwen2.5-7B,0.5,esnli,mawps,0.5807692307692308,,,
Qwen/Qwen2.5-7B,0.5,esnli,mbpp,,,,0.4135087430477142
Qwen/Qwen2.5-7B,0.5,esnli,opc,,,,0.5212323069572449
Qwen/Qwen2.5-7B,0.5,esnli,oscar,,,10.184602737426758,
Qwen/Qwen2.5-7B,0.5,esnli,pile,,,6.259177207946777,
Qwen/Qwen2.5-7B,0.5,esnli,race,0.8433319821645724,,,
Qwen/Qwen2.5-7B,0.5,esnli,redpajama,,,13.214195251464844,
Qwen/Qwen2.5-7B,0.5,esnli,rte,0.8375451263537906,,,
Qwen/Qwen2.5-7B,0.5,esnli,svamp,0.5766666666666667,,,
Qwen/Qwen2.5-7B,0.5,esnli,wikitext2,,,9.186968803405762,
